subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,UPPS.lack_of_perseverance,UPPS.lack_of_premeditation,UPPS.negative_urgency,UPPS.positive_urgency,UPPS.sensation_seeking,spatial.forward_span,spatial.reverse_span,digit.forward_span,digit.reverse_span,SSS.boredom_susceptibility,SSS.disinhibition,SSS.experience_seeking,SSS.thrill_adventure_seeking,Dickman.dysfunctional,Dickman.functional
s247,1.6206149704301132,1.0407532680461935,5.439647750682472,3.8629115105487863,-0.5218023819791899,0.8187889705263355,0.7388239136856071,0.4937698512288939,0.14561526751190537,-0.7620720246284496,-0.8522750518697102,1.9266735971310953,1.5205702133800953,0.19628645834695,-0.8649392256728516,-0.37321811925358145,0.6222202021163403,-0.12215416177489333,1.8474171581687346
s252,-0.5165666058191276,0.5910572875415178,-0.9866507548532245,-0.8123859937741118,-0.7001618244919885,-0.837248940099005,-0.34059258437865425,-0.9422290572404682,-0.5611143290237259,-0.13943782153434292,0.07177053068376528,1.0589684516053333,0.6235030159725694,1.1222790633730195,0.70490641739858,1.4868528292815677,-0.6703246211034856,-0.561056905097761,-0.16363634626675963
s256,-0.8003920818931547,-0.4913504794896953,-0.3051297606075355,-0.6282454378635115,-0.3434429394663913,-1.2052573646374352,-0.34059258437865425,-0.8225624814229993,0.4989800657797218,0.9813037440350483,2.728401580525008,-0.4836184737737982,2.8316684249757107,-1.1927024491921543,1.0973678281664376,1.4868528292815677,1.5916288195312092,-0.561056905097761,-1.0255164194608184
s257,0.024399899859458223,-0.4756634104022864,-0.13104559359726603,0.5015661085760966,-0.5218023819791899,-0.65324472782979,-0.8803008333298284,-0.10456302735585138,0.02782700132840324,0.7322500627974055,-0.15924086495460385,0.4804983545881592,0.9685288611293109,-0.7297061466791194,-1.2574006364407093,-0.8382358562827399,-0.6703246211034856,-0.561056905097761,-1.3128097771921718
s259,0.5241268064523054,2.327092933213722,0.8727163055370307,1.259975516820631,-1.413599594543182,-0.65324472782979,-1.6898632068375463,-0.8225624814229993,0.9701331300896938,0.4831963815597637,2.2663787892482694,1.3482035001139212,0.07146166372178427,-0.7297061466791194,1.4898292389342953,0.5568173552232512,0.9453564079212966,-0.561056905097761,1.2728304427060286
s266,-0.7615783415763093,0.9832340147267399,-0.6644098499646168,-0.022766321815186414,-1.0568807095175852,1.1867973950647661,0.46896978912906395,1.9297687595307231,1.3234979283575097,0.7322500627974055,-0.390252260592973,2.69796705982066,0.6235030159725694,0.6592827608599848,0.3124450066307217,0.09179961819409276,1.2684926137262529,-0.561056905097761,1.2728304427060286
s268,-0.5869165101461388,-0.525339129179604,0.16526788216163257,1.259975516820631,-1.2352401520303833,-0.65324472782979,-1.6898632068375463,-1.0618956328904041,-1.3856321917428602,0.4831963815597637,0.9958161132372408,-0.0015600595928194855,0.0024564946904363514,-0.2667098441660847,-1.6498620472085672,-0.8382358562827399,-0.993460826908442,-0.561056905097761,0.6982437272433225
s270,-1.4214119269786907,-1.482250343511546,-0.38661596643995494,-1.661305166787946,0.5483542730976007,1.0027931827955512,-0.6104467087732849,-0.8225624814229993,-0.6789025952072286,0.9813037440350483,1.6888503001523472,-1.5441469849719518,-0.5495848575603495,-1.1927024491921543,-0.8649392256728516,0.09179961819409276,-0.993460826908442,-0.12215416177489333,0.6982437272433225
s271,0.18208071990155464,0.039395357967115824,-1.6422443199714265,-0.831112152002372,0.19163538807200356,0.26677633371869036,-0.07073845982211069,0.25443669976148897,-0.7966908612493852,2.1020453096044407,1.9198616957907164,2.0230852799672907,1.0375340301606588,-0.7297061466791194,-1.2574006364407093,-0.8382358562827399,-0.993460826908442,-0.561056905097761,-0.7382230617294657
s273,2.108212583172673,1.3675672073682577,2.0987133114932788,1.8155182109244328,-1.0568807095175852,-0.28523630308895476,-1.1501549578863721,-0.9422290572404682,-0.9144791272915417,1.1058305846538703,-0.2747465627737879,0.8661450859329425,0.14046683275313218,-1.1927024491921543,-0.08001640413713598,-0.37321811925358145,-1.3165970327133982,-0.561056905097761,-1.0255164194608184
